‏John 
1:32	וַיָּעַד יוֹחָנָן לֵאמֹר רָאִיתִי אֶת־־הָרוּחַ יוֹרֶדֶת מִשָּׁמַיִם כִּיוֹנָה וִישֶׁבֶת עָלָיו. 
1:33	וַאֲנִי לֹא יְדַעְתִּיו אַךְ הַשׂלַח אֹתִי לְבַפּטִז בְּמַיִם הוּא אָמַר אֵלַי אֶל אֲשֶׁר תִּרְאֶה הָרוּחַ וְרֶדֶת וְיוֹשֶׁבֶת עָלָיו זֶה הוּא אֲשֶׁר מְבַפּטִוּ בְּרוּחַ הַקֹּדֶשׁ. 
1:34	וָאֶרְאֶה וָאָעֵד כִּי זֶה בֶּן־אֱלֹהִים. 
1:35	וַיַּעֲמֹד יוֹחָנָן וּשְׁנַיִם מִתַּלְמִידָיו מִמָּחֶרָת. 
1:36	וַיַּרְא אֶת־יֵשׁוּעַ הוֹלֵךְ וַיֹּאמַר הִנֵּה שֵׂה אֱלֹהִים. 
1:37	וַיִּשְׁמְעוּ אֹתוֹ שְׁנֵי תַלְמִידָיו מְדַבֵּר וַיֵּלְכוּ אַחֲרֵי יֵשׁוּעַ. 
1:38	וַיִּפֶן יֵשׁוּעַ וַיַּרְא אֹתָם הֹלְכִים אַחֲרָיו וַיֹּאמֶר אֲלֵיהֶם מַה־תְּבַקְשׁוּ וַיֹּאמְרוּ אֵלָיו רַבִּי לֵאמֹר מְלַמֵד אֵיפֹה אַתָּה יֹשֵׁב. 
1:39	וַיֹּאמֶר אֲלֵיהֶם בּאוּ וּרְאוּ וַיָּבֹאוּ וַיִּרְאוּ בַאֲשֶׁר הוּא יֹשֵׁב שָׁמָּה וַיִּשְׁבוּ אִתּוֹ בַיּוֹם הַהוּא וְכָעֵת עֲשִׂירִית הָיְתָה. 
1:40	וְאֶחָד מִשְׁנַיִם אֲשֶׁר שָׁמְעוּ אֶת־יוֹחָנָן וְהָלְכוּ אַחֲרָיו הָיָה אַנְדְרֵעַ אֲחִי שִׁמְעוֹן־פֶּטֶר. 
1:41	הוּא הַמּוֹצֵא בָרִאשֹׁנָה אֶת־שִׁמְעוֹן אָחִיו וַיֹּאמֶר אֵלָיו מָצָאנוּ אֶת־הַמָּשִׁיחַ לֵאמֹר קְרְסְטְ. 
1:42	וַיְבִיאֵהוּ אֶל יֵשׁוּעַ וַיַּרְא אֹתוֹ יֵשׁוּעַ וַיֹּאמַר שִׁמְעוֹן בֶּן־יוֹנָה אַתָּה תִּקְרֵא בֵּיפָא לֵאמֹר פֶּטֶר. 
1:43	וַיֹּאבֶה יֵשׁוּעַ מִמָּחֶרָת לָלֶכֶת גָּלִילָה וַיִּמְצָא פִלפּוֹס וַיֹּאמֶר אֵלָיו לֵךְ אַחֲרָי. 
1:44	וּפְלִפּוֹס הָיָה מִבֵּית־צַיְדָה מֵעִיר אַנְדְרֵעַ וּפֶטֶר. 
1:45	וַיִּמְצָא פְלִפּוֹס אֶת־נְתַנְאֵל וַיֹּאמֶר אֵלָיו מָצָאנוּ אֹתוֹ אֲשֶׁר כָּתַב עָלָיו מֹשֶׁה בַתּוֹרָה וְהַנָּבִיאִים אֶת־־יֵשׁוּעַ בֶּן־־יוֹסֵף הַנּצְרִי. 
1:46	וַיֹּאמֶר אֵלָיו נְתַנְאֵל הָיוּכַל לִהְיוֹת טוֹב מִנָּצֶרֶת וַיֹּאמֶר אֵלָיו פְלפּוֹס בּוֹא וּרְאֵה. 
1:47	וַיַּרְא יֵשׁוּעַ אֶת־נְתַנְאֵל בָּא אֵלָיו וַיֹּאמֶר עָלָיו הִנֵּה אָמְנָה יִשְׂרְאֵלִי הוּא אֲשֶׁר לֹא מִרְמָה בוֹ. 
